699506;2020;Bezirksliga 16 wU16
699507;2020;Bezirksliga 2 U16
699509;2020;Bezirksliga 15 wU18
699512;2020;Bezirksliga 9 wU20
699514;2020;Oberliga 1 U13
699520;2020;Kreisliga Siegen - Olpe Frauen
718343;2020;Bezirksliga 6 U13
718344;2020;Bezirksliga 16 U13
718345;2020;Bezirksliga 18 U13
718346;2020;Bezirksliga 17 U13
718348;2020;Bezirksliga 2 U13
718349;2020;Bezirksliga 1 U13
721522;2020;Quali A mU14 ZR6
721714;2020;Quali A mU13 ZR5
721715;2020;Quali A mU13 ZR6
721718;2020;Bezirksmeisterschaft Westfalen-Süd weibliche U12
721723;2020;Quali B mU13 ZR5
